Year,India,China,Bangladesh,Thailand,Pakistan,Mexico,World_Total
2000,983700.0,212000.0,143000.0,135470.0,174571.0,56539.65,1705280.65
2001,1069000.0,215000.0,141000.0,137182.0,93256.0,56896.6,1712334.6
2002,896900.0,220000.0,136000.0,141109.0,98872.0,57305.94,1550186.94
2003,1235700.0,230000.0,137325.0,145644.0,96394.0,56500.0,1901563.0
2004,1185500.0,235000.0,138740.0,150422.0,90474.0,57000.0,1857136.0
2005,1014600.0,240000.0,185635.0,152164.0,122890.0,58000.0,1773289.0
2006,1234100.0,245000.0,155430.0,156101.0,69600.0,58200.0,1918431.0
2007,1294150.0,250000.0,153955.0,159109.0,116100.0,60000.0,2033314.0
2008,1269850.0,252000.0,117765.0,162637.0,187700.0,59236.57,2049188.57
2009,1202940.0,260000.0,109337.0,165458.0,188800.0,59509.05,1986044.05
2010,1223400.0,265000.0,109350.0,158883.0,171700.0,59786.08,1988119.08
2011,1276301.0,277815.73,176134.0,188138.19,47300.0,60059.83,2025748.75
2012,1304000.0,290000.0,126000.0,215619.15,147162.0,60000.0,2142781.15
2013,1492000.0,300000.0,102000.0,243452.0,145856.0,60000.0,2343308.0
2014,1492000.0,307286.89,110000.0,321395.0,139687.0,60140.22,2430509.1100000003
2015,1605000.0,305809.44,123207.0,348223.0,142200.0,60382.34,2584821.78
2016,1520390.0,309074.98,130260.0,304356.67,142163.0,60383.57,2466628.2199999997
2017,2096000.0,316117.85,136872.0,324658.22,142730.0,60372.43,3076750.5000000005
2018,2149000.0,323421.11,141177.0,339404.25,148114.0,60611.36,3161727.7199999997
2019,1743000.0,331178.57,149473.0,322806.38,101659.0,60737.88,2708854.83
2020,1835000.0,323572.51,157607.0,318251.86,141541.0,60922.83,2836895.1999999997
2021,2049000.0,326057.39,492681.0,326820.83,105401.0,61241.37,3361201.5900000003
2022,1874000.0,326936.16,375092.64,322626.36,144160.0,61037.37,3103852.5300000003
2023,2782000.0,325522.02,272837.98,322566.35,109615.0,61188.99,3873730.3400000003
2024,2909844.0,326171.86,301311.46,324004.51,120647.0,61340.61,4043319.44
